date,"Sample 1, San Antonio","Sample 2, San Antonio","Sample 3, San Antonio","Sample 4, Los Angeles","Sample 5, Los Angeles","Sample 7, Brooklyn","Sample 8, Brooklyn","Sample 9, Brooklyn","Sample 10, Miami","Sample 11, Miami","Sample 12, Miami","Sample 13, Houston","Sample 14, Houston","Sample 15, Houston","Sample 16, Chicago","Sample 17, Chicago","Sample 18, Chicago","Sample 19, Dallas","Sample 20, Dallas","Sample 21, Dallas","Sample 22, Minneapolis","Sample 23, Minneapolis","Sample 24, Minneapolis","Sample 25, Las Vegas","Sample 26, Las Vegas","Sample 27, Las Vegas","Sample 28, Orlando","Sample 29, Orlando","Sample 30, Orlando","Sample 31, Tampa","Sample 32, Tampa","Sample 33, Tampa","Sample 34, Kansas City","Sample 35, Kansas City","Sample 36, Kansas City","Sample 37, Austin","Sample 38, Austin","Sample 39, Austin","Sample 40, Nashville","Sample 41, Nashville","Sample 42, Nashville","Sample 43, Baltimore","Sample 44, Baltimore","Sample 45, Baltimore","Sample 46, Queens","Sample 47, Queens","Sample 48, Queens","Sample 49, Fresno","Sample 50, Fresno","Sample 51, Fresno","Sample 52, Charleston","Sample 53, Charleston","Sample 54, Charleston","Sample 55, Denver","Sample 56, Denver","Sample 57, Denver","Sample 58, Boston","Sample 59, Boston","Sample 60, Boston"
2021-03-05,-3,2,,0,-12,0,2,,4,-8,-1,3,1,0,4,6,,3,1,0,-2,3,2,-1,10,,1,,-1,8,-1,,1,,,-4,2,,,-2,,3,1,1,5,,0,3,8,,,-7,,2,3,,1,,11
2021-03-06,1,2,,-1,-11,0,4,,4,-7,-1,3,-1,0,4,5,2,3,-1,1,-1,4,7,-1,12,,2,,-4,8,1,,-5,,6,-4,2,0,,-3,6,1,1,-2,4,5,-1,3,8,,5,-8,,3,4,-3,1,-1,11
2021-03-07,-1,3,,-1,-9,0,6,4,4,-7,-2,1,0,-1,2,5,6,1,0,0,0,4,4,-2,12,9,2,4,1,6,1,4,1,,1,-4,-5,5,,-3,6,0,1,-3,1,5,-1,2,5,2,5,-6,,1,4,-3,0,-3,8
2021-03-08,0,2,3,-1,-9,0,6,4,4,-5,0,2,0,1,1,2,5,4,-2,2,0,4,8,-2,10,8,2,4,1,5,1,8,-5,,1,-4,-5,5,5,7,1,-1,1,2,4,7,0,2,6,2,4,-6,,2,3,-3,1,5,11
2021-03-09,0,4,3,-1,-9,0,6,4,5,-8,0,1,1,-3,-1,6,5,3,-2,2,0,5,8,-2,8,8,3,4,1,6,2,8,-1,,8,-3,-4,5,5,7,1,-1,5,2,4,7,-1,1,7,2,4,-7,,4,4,-3,1,0,11
2021-03-10,2,1,3,-1,-9,0,6,8,4,-8,-1,2,1,0,-2,1,5,4,0,-1,-2,4,4,-2,9,10,3,5,-4,5,3,3,-3,-2,2,-3,-2,5,5,7,0,-1,5,-3,-1,8,1,3,11,2,3,-7,10,2,1,-2,2,0,12
2021-03-11,-1,3,3,-2,-9,0,10,8,3,-10,-1,2,1,2,-2,3,5,3,-1,-1,-2,3,6,-2,11,1,3,6,-4,3,-1,3,-3,0,8,1,-2,4,2,7,4,0,5,-3,0,8,1,4,7,2,7,-7,10,3,1,-2,1,-1,12
2021-03-12,-3,4,3,-2,-10,0,6,8,3,-8,-1,2,1,2,-2,1,7,2,0,3,-3,3,4,-2,6,9,1,6,-1,5,0,5,-2,-3,6,1,-1,4,5,7,2,1,2,2,2,3,3,4,6,0,6,10,8,1,0,-2,1,1,8
2021-03-13,-3,4,0,-2,-9,0,5,8,4,-9,-1,3,2,0,-1,-1,8,3,0,3,-3,3,7,-1,9,8,2,6,-1,4,0,5,-2,-3,5,1,-1,3,1,7,-2,0,2,2,0,0,2,5,6,0,3,10,9,1,0,-2,1,1,10
2021-03-14,-4,4,0,-2,-8,0,4,7,3,-9,-1,4,3,-4,-1,-2,8,5,-2,3,-2,1,3,1,9,8,2,7,-1,1,3,5,-1,-3,4,2,0,3,2,7,-2,-1,2,3,2,-1,5,6,3,-2,6,10,9,0,1,-3,1,-1,12
2021-03-15,2,2,-1,1,-8,0,3,7,4,-6,3,3,3,-4,0,-2,4,1,-6,-1,-3,1,5,4,8,4,1,2,-1,1,-3,5,1,-2,4,2,-4,5,1,4,0,0,-3,1,4,-1,3,5,2,-2,4,4,8,1,0,-3,1,5,8
2021-03-16,5,3,1,2,-8,1,1,-1,5,-3,3,3,4,-4,0,0,4,1,0,-1,-2,4,6,5,9,5,2,5,-3,1,0,5,1,-2,4,3,-1,1,1,-1,0,0,-2,4,0,4,3,8,2,-2,3,4,8,3,1,-3,5,-2,10
