x,x_date,"Sample 1, San Antonio","Sample 2, San Antonio","Sample 3, San Antonio","Sample 4, Los Angeles","Sample 5, Los Angeles","Sample 7, Brooklyn","Sample 8, Brooklyn","Sample 9, Brooklyn","Sample 10, Miami","Sample 11, Miami","Sample 12, Miami","Sample 13, Houston","Sample 14, Houston","Sample 15, Houston","Sample 16, Chicago","Sample 17, Chicago","Sample 18, Chicago","Sample 19, Dallas","Sample 20, Dallas","Sample 21, Dallas","Sample 22, Minneapolis","Sample 23, Minneapolis","Sample 24, Minneapolis","Sample 25, Las Vegas","Sample 26, Las Vegas","Sample 27, Las Vegas","Sample 28, Orlando","Sample 29, Orlando","Sample 30, Orlando","Sample 31, Tampa","Sample 32, Tampa","Sample 33, Tampa","Sample 34, Kansas City","Sample 35, Kansas City","Sample 36, Kansas City","Sample 37, Austin","Sample 38, Austin","Sample 39, Austin","Sample 40, Nashville","Sample 41, Nashville","Sample 42, Nashville","Sample 43, Baltimore","Sample 44, Baltimore","Sample 45, Baltimore","Sample 46, Queens","Sample 47, Queens","Sample 48, Queens","Sample 49, Fresno","Sample 50, Fresno","Sample 51, Fresno","Sample 52, Charleston","Sample 53, Charleston","Sample 54, Charleston","Sample 55, Denver","Sample 56, Denver","Sample 57, Denver","Sample 58, Boston","Sample 59, Boston","Sample 60, Boston",loess
18691,2021-03-05,7,13,,6,14,8,3,,12,15,29,11,19,21,8,19,,11,23,16,5,17,28,4,23,,3,,21,10,14,,12,,,2,19,,,16,,7,30,27,9,,15,8,19,,,17,,11,17,,15,,32,15.9330732639433
18691,2021-03-05,7,13,,6,14,8,3,,12,15,29,11,19,21,8,19,,11,23,16,5,17,28,4,23,,3,,21,10,14,,12,,,2,19,,,16,,7,30,27,9,,15,8,19,,,17,,11,17,,15,,32,15.9330732639433
18692,2021-03-06,11,13,,5,15,8,5,,12,16,29,11,17,21,8,18,20,11,21,17,6,18,33,4,25,,4,,18,10,16,,6,,32,2,19,18,,15,30,5,30,24,8,16,14,8,19,,8,16,,12,18,25,15,13,32,16.0986853019888
18692,2021-03-06,11,13,,5,15,8,5,,12,16,29,11,17,21,8,18,20,11,21,17,6,18,33,4,25,,4,,18,10,16,,6,,32,2,19,18,,15,30,5,30,24,8,16,14,8,19,,8,16,,12,18,25,15,13,32,16.0986853019888
18693,2021-03-07,9,14,,5,17,8,7,26,12,16,28,9,18,20,6,18,24,9,22,16,7,18,30,3,25,29,4,23,23,8,16,25,12,,27,2,12,23,,15,30,4,30,23,5,16,14,7,16,31,8,18,,10,18,25,14,11,29,16.29641834451
18693,2021-03-07,9,14,,5,17,8,7,26,12,16,28,9,18,20,6,18,24,9,22,16,7,18,30,3,25,29,4,23,23,8,16,25,12,,27,2,12,23,,15,30,4,30,23,5,16,14,7,16,31,8,18,,10,18,25,14,11,29,16.29641834451
18693,2021-03-07,9,14,,5,17,8,7,26,12,16,28,9,18,20,6,18,24,9,22,16,7,18,30,3,25,29,4,23,23,8,16,25,12,,27,2,12,23,,15,30,4,30,23,5,16,14,7,16,31,8,18,,10,18,25,14,11,29,16.29641834451
18694,2021-03-08,10,13,26,5,17,8,7,26,12,18,30,10,18,22,5,15,23,12,20,18,7,18,34,3,23,28,4,23,23,7,16,29,6,,27,2,12,23,13,25,25,3,30,28,8,18,15,7,17,31,7,18,,11,17,25,15,19,32,16.4772750142384
18694,2021-03-08,10,13,26,5,17,8,7,26,12,18,30,10,18,22,5,15,23,12,20,18,7,18,34,3,23,28,4,23,23,7,16,29,6,,27,2,12,23,13,25,25,3,30,28,8,18,15,7,17,31,7,18,,11,17,25,15,19,32,16.4772750142384
18695,2021-03-09,10,15,26,5,17,8,7,26,13,15,30,9,19,18,3,19,23,11,20,18,7,19,34,3,21,28,5,23,23,8,17,29,10,,34,3,13,23,13,25,25,3,34,28,8,18,14,6,18,31,7,17,,13,18,25,15,14,32,16.6294619374493
18695,2021-03-09,10,15,26,5,17,8,7,26,13,15,30,9,19,18,3,19,23,11,20,18,7,19,34,3,21,28,5,23,23,8,17,29,10,,34,3,13,23,13,25,25,3,34,28,8,18,14,6,18,31,7,17,,13,18,25,15,14,32,16.6294619374493
18695,2021-03-09,10,15,26,5,17,8,7,26,13,15,30,9,19,18,3,19,23,11,20,18,7,19,34,3,21,28,5,23,23,8,17,29,10,,34,3,13,23,13,25,25,3,34,28,8,18,14,6,18,31,7,17,,13,18,25,15,14,32,16.6294619374493
18696,2021-03-10,12,12,26,5,17,8,7,30,12,15,29,10,19,21,2,14,23,12,22,15,5,18,30,3,22,30,5,24,18,7,18,24,8,25,28,3,15,23,13,25,24,3,34,23,3,19,16,8,22,31,6,17,21,11,15,26,16,14,33,16.7691851380364
18696,2021-03-10,12,12,26,5,17,8,7,30,12,15,29,10,19,21,2,14,23,12,22,15,5,18,30,3,22,30,5,24,18,7,18,24,8,25,28,3,15,23,13,25,24,3,34,23,3,19,16,8,22,31,6,17,21,11,15,26,16,14,33,16.7691851380364
18696,2021-03-10,12,12,26,5,17,8,7,30,12,15,29,10,19,21,2,14,23,12,22,15,5,18,30,3,22,30,5,24,18,7,18,24,8,25,28,3,15,23,13,25,24,3,34,23,3,19,16,8,22,31,6,17,21,11,15,26,16,14,33,16.7691851380364
18697,2021-03-11,9,14,26,4,17,8,11,30,11,13,29,10,19,23,2,16,23,11,21,15,5,17,32,3,24,21,5,25,18,5,14,24,8,27,34,7,15,22,10,25,28,4,34,23,4,19,16,9,18,31,10,17,21,12,15,26,15,13,33,16.8461566130087
18697,2021-03-11,9,14,26,4,17,8,11,30,11,13,29,10,19,23,2,16,23,11,21,15,5,17,32,3,24,21,5,25,18,5,14,24,8,27,34,7,15,22,10,25,28,4,34,23,4,19,16,9,18,31,10,17,21,12,15,26,15,13,33,16.8461566130087
18698,2021-03-12,7,15,26,4,16,8,7,30,11,15,29,10,19,23,2,14,25,10,22,19,4,17,30,3,19,29,3,25,21,7,15,26,9,24,32,7,16,22,13,25,26,5,31,28,6,14,18,9,17,29,9,34,19,10,14,26,15,15,29,16.8798082179869
18698,2021-03-12,7,15,26,4,16,8,7,30,11,15,29,10,19,23,2,14,25,10,22,19,4,17,30,3,19,29,3,25,21,7,15,26,9,24,32,7,16,22,13,25,26,5,31,28,6,14,18,9,17,29,9,34,19,10,14,26,15,15,29,16.8798082179869
18698,2021-03-12,7,15,26,4,16,8,7,30,11,15,29,10,19,23,2,14,25,10,22,19,4,17,30,3,19,29,3,25,21,7,15,26,9,24,32,7,16,22,13,25,26,5,31,28,6,14,18,9,17,29,9,34,19,10,14,26,15,15,29,16.8798082179869
18699,2021-03-13,7,15,23,4,17,8,6,30,12,14,29,11,20,21,3,12,26,11,22,19,4,17,33,4,22,28,4,25,21,6,15,26,9,24,31,7,16,21,9,25,22,4,31,28,4,11,17,10,17,29,6,34,20,10,14,26,15,15,31,16.8730620996358
18699,2021-03-13,7,15,23,4,17,8,6,30,12,14,29,11,20,21,3,12,26,11,22,19,4,17,33,4,22,28,4,25,21,6,15,26,9,24,31,7,16,21,9,25,22,4,31,28,4,11,17,10,17,29,6,34,20,10,14,26,15,15,31,16.8730620996358
18700,2021-03-14,6,15,23,4,18,8,5,29,11,14,29,12,21,17,3,11,26,13,20,19,5,15,29,6,22,28,4,26,21,3,18,26,10,24,30,8,17,21,10,25,22,3,31,29,6,10,20,11,14,27,9,34,20,9,15,25,15,13,33,16.818741258969
18700,2021-03-14,6,15,23,4,18,8,5,29,11,14,29,12,21,17,3,11,26,13,20,19,5,15,29,6,22,28,4,26,21,3,18,26,10,24,30,8,17,21,10,25,22,3,31,29,6,10,20,11,14,27,9,34,20,9,15,25,15,13,33,16.818741258969
18700,2021-03-14,6,15,23,4,18,8,5,29,11,14,29,12,21,17,3,11,26,13,20,19,5,15,29,6,22,28,4,26,21,3,18,26,10,24,30,8,17,21,10,25,22,3,31,29,6,10,20,11,14,27,9,34,20,9,15,25,15,13,33,16.818741258969
18701,2021-03-15,12,13,22,7,18,8,4,29,12,17,33,11,21,17,4,11,22,9,16,15,4,15,31,9,21,24,3,21,21,3,12,26,12,25,30,8,13,23,9,22,24,4,26,27,8,10,18,10,13,27,7,28,19,10,14,25,15,19,29,16.7218023990691
18701,2021-03-15,12,13,22,7,18,8,4,29,12,17,33,11,21,17,4,11,22,9,16,15,4,15,31,9,21,24,3,21,21,3,12,26,12,25,30,8,13,23,9,22,24,4,26,27,8,10,18,10,13,27,7,28,19,10,14,25,15,19,29,16.7218023990691
18702,2021-03-16,15,14,24,8,18,9,2,21,13,20,33,11,22,17,4,13,22,9,22,15,5,18,32,10,22,25,4,24,19,3,15,26,12,25,30,9,16,19,9,17,24,4,27,30,4,15,18,13,13,27,6,28,19,12,15,25,19,12,31,16.5758587318379
18702,2021-03-16,15,14,24,8,18,9,2,21,13,20,33,11,22,17,4,13,22,9,22,15,5,18,32,10,22,25,4,24,19,3,15,26,12,25,30,9,16,19,9,17,24,4,27,30,4,15,18,13,13,27,6,28,19,12,15,25,19,12,31,16.5758587318379
18702,2021-03-16,15,14,24,8,18,9,2,21,13,20,33,11,22,17,4,13,22,9,22,15,5,18,32,10,22,25,4,24,19,3,15,26,12,25,30,9,16,19,9,17,24,4,27,30,4,15,18,13,13,27,6,28,19,12,15,25,19,12,31,16.5758587318379
